theta_deg,phi_deg,S_normal,S_tangent,trace_sum,trace_diff
10.0,80.0,0.030153689607045817,0.9698463103929541,0.9999999999999999,0.9396926207859083
10.05,79.95,0.030452873952645444,0.9695471260473545,0.9999999999999999,0.9390942520947091
10.1,79.9,0.03075348862022203,0.9692465113797779,0.9999999999999999,0.9384930227595559
10.15,79.85,0.031055532694051202,0.9689444673059489,1.0,0.9378889346118977
10.2,79.8,0.031359005254054266,0.9686409947459457,0.9999999999999999,0.9372819894918915
10.25,79.75,0.031663905375801195,0.9683360946241989,1.0,0.9366721892483977
10.3,79.7,0.03197023213051336,0.9680297678694867,1.0,0.9360595357389734
10.35,79.65,0.032277984585066324,0.9677220154149337,1.0,0.9354440308298674
10.4,79.6,0.03258716180199279,0.9674128381980073,1.0,0.9348256763960144
10.45,79.55,0.03289776283948524,0.9671022371605147,0.9999999999999999,0.9342044743210295
10.5,79.5,0.03320978675139913,0.9667902132486009,1.0,0.9335804264972019
10.55,79.45,0.03352323258725545,0.9664767674127446,1.0,0.9329535348254892
10.6,79.4,0.03383809939224388,0.9661619006077562,1.0,0.9323238012155123
10.65,79.35,0.03415438620722554,0.9658456137927746,1.0,0.931691227585549
10.7,79.3,0.034472092068735846,0.9655279079312642,1.0,0.9310558158625284
10.75,79.25,0.03479121600898772,0.9652087839910123,1.0,0.9304175679820246
10.8,79.2,0.03511175705587428,0.9648882429441258,1.0,0.9297764858882515
10.85,79.15,0.03543371423297189,0.9645662857670282,1.0,0.9291325715340563
10.9,79.1,0.03575708655954327,0.9642429134404568,1.0,0.9284858268809135
10.95,79.05,0.03608187305054004,0.9639181269494599,0.9999999999999999,0.9278362538989199
11.0,79.0,0.036408072716606316,0.9635919272833937,1.0,0.9271838545667874
11.05,78.95,0.036735684564081356,0.9632643154359186,1.0,0.9265286308718372
11.1,78.9,0.03706470759500262,0.9629352924049973,0.9999999999999999,0.9258705848099947
11.15,78.85,0.03739514080710897,0.9626048591928911,1.0,0.9252097183857821
11.2,78.8,0.03772698319384345,0.9622730168061565,1.0,0.924546033612313
11.25,78.75,0.03806023374435663,0.9619397662556434,1.0,0.9238795325112867
11.3,78.7,0.038394891443509556,0.9616051085564904,1.0,0.9232102171129808
11.35,78.65,0.03873095527187681,0.9612690447281232,1.0,0.9225380894562465
11.4,78.6,0.03906842420574976,0.9609315757942504,1.0000000000000002,0.9218631515885006
11.45,78.55,0.03940729721713941,0.9605927027828606,1.0,0.9211854055657211
11.5,78.5,0.03974757327377984,0.9602524267262201,1.0,0.9205048534524403
11.55,78.45,0.04008925133913117,0.9599107486608689,1.0,0.9198214973217377
11.6,78.4,0.040432330372382766,0.9595676696276172,1.0,0.9191353392552344
11.65,78.35,0.040776809328456426,0.9592231906715435,0.9999999999999999,0.9184463813430871
11.7,78.3,0.04112268715800943,0.9588773128419905,1.0,0.917754625683981
11.75,78.25,0.04146996280743797,0.958530037192562,1.0,0.917060074385124
11.8,78.2,0.041818635218880185,0.9581813647811197,0.9999999999999999,0.9163627295622395
11.85,78.15,0.04216870333021944,0.9578312966697806,1.0,0.9156625933395612
11.9,78.1,0.042520166075087615,0.9574798339249124,1.0,0.9149596678498249
11.95,78.05,0.04287302238286817,0.9571269776171318,1.0,0.9142539552342637
12.0,78.0,0.04322727117869958,0.9567727288213005,1.0,0.9135454576426009
12.05,77.95,0.043582911383478605,0.9564170886165214,1.0,0.9128341772330428
12.1,77.9,0.0439399419138635,0.9560600580861365,1.0,0.912120116172273
12.15,77.85,0.044298361682277416,0.9557016383177226,1.0,0.9114032766354452
12.2,77.8,0.044658169596911476,0.9553418304030885,1.0,0.910683660806177
12.25,77.75,0.045019364561728406,0.9549806354382716,1.0,0.9099612708765432
12.3,77.7,0.045381945476465735,0.9546180545235343,1.0,0.9092361090470686
12.35,77.65,0.04574591123663909,0.9542540887633609,1.0,0.9085081775267219
12.4,77.6,0.0461112607335457,0.9538887392664543,1.0,0.9077774785329087
12.45,77.55,0.04647799285426755,0.9535220071457324,1.0,0.9070440142914649
12.5,77.5,0.046846106481675025,0.953153893518325,1.0,0.90630778703665
12.55,77.45,0.047215600494430195,0.9527843995055699,1.0000000000000002,0.9055687990111397
12.6,77.4,0.04758647376699022,0.9524135262330098,1.0,0.9048270524660196
12.65,77.35,0.04795872516961083,0.9520412748303891,1.0,0.9040825496607783
12.7,77.3,0.0483323535683496,0.9516676464316504,1.0,0.9033352928633007
12.75,77.25,0.04870735782506969,0.9512926421749303,1.0,0.9025852843498605
12.8,77.2,0.049083736797443094,0.950916263202557,1.0,0.9018325264051139
12.85,77.15,0.049461489338954175,0.9505385106610459,1.0,0.9010770213220917
12.9,77.1,0.049840614298903255,0.9501593857010967,1.0,0.9003187714021934
12.95,77.05,0.05022111052240982,0.9497788894775903,1.0,0.8995577789551804
13.0,77.0,0.05060297685041649,0.9493970231495835,1.0,0.898794046299167
13.05,76.95,0.05098621211969216,0.9490137878803079,1.0,0.8980275757606158
13.1,76.9,0.05137081516283574,0.9486291848371643,1.0,0.8972583696743286
13.15,76.85,0.051756784808279784,0.9482432151917203,1.0,0.8964864303834404
13.2,76.8,0.0521441198802936,0.9478558801197063,0.9999999999999999,0.8957117602394128
13.25,76.75,0.052532819198987495,0.9474671808010126,1.0,0.8949343616020251
13.3,76.7,0.052922881580315925,0.9470771184196841,1.0,0.8941542368393682
13.35,76.65,0.053314305836081224,0.9466856941639188,1.0,0.8933713883278376
13.4,76.6,0.053707090773937295,0.9462929092260627,1.0,0.8925858184521254
13.45,76.55,0.05410123519739298,0.945898764802607,1.0,0.8917975296052141
13.5,76.5,0.05449673790581608,0.9455032620941839,1.0,0.8910065241883678
13.55,76.45,0.054893597694436747,0.9451064023055633,1.0,0.8902128046111266
13.6,76.4,0.055291813354351224,0.9447081866456488,1.0,0.8894163732912976
13.65,76.35,0.05569138367252562,0.9443086163274744,1.0,0.8886172326549489
13.7,76.3,0.05609230743179935,0.9439076925682006,1.0,0.8878153851364012
13.75,76.25,0.05649458341088915,0.9435054165891108,1.0,0.8870108331782216
13.8,76.2,0.05689821038439263,0.9431017896156074,1.0,0.8862035792312148
13.85,76.15,0.05730318712279204,0.9426968128772079,0.9999999999999999,0.8853936257544158
13.9,76.1,0.05770951239245804,0.942290487607542,1.0,0.8845809752150839
13.95,76.05,0.05811718495565328,0.9418828150443467,1.0,0.8837656300886934
14.0,76.0,0.05852620357053652,0.9414737964294635,1.0,0.882947592858927
14.05,75.95,0.05893656699116609,0.941063433008834,1.0,0.8821268660176679
14.100000000000001,75.9,0.05934827396750386,0.9406517260324961,1.0,0.8813034520649923
14.15,75.85,0.05976132324541902,0.9402386767545811,1.0,0.880477353509162
14.2,75.8,0.06017571356669178,0.9398242864333082,1.0,0.8796485728666164
14.25,75.75,0.06059144366901735,0.9394085563309827,1.0,0.8788171126619654
14.3,75.7,0.06100851228600974,0.9389914877139902,1.0,0.8779829754279804
14.350000000000001,75.65,0.06142691814720562,0.9385730818527943,0.9999999999999999,0.8771461637055887
14.4,75.6,0.06184665997806825,0.9381533400219317,1.0,0.8763066800438635
14.45,75.55,0.06226773649999109,0.9377322635000089,1.0,0.8754645270000179
14.5,75.5,0.06269014643030213,0.9373098535696979,1.0,0.8746197071393957
14.55,75.45,0.0631138884822674,0.9368861115177327,1.0,0.8737722230354653
14.600000000000001,75.4,0.06353896136509515,0.9364610386349049,1.0,0.8729220772698097
14.65,75.35,0.06396536378393973,0.9360346362160603,1.0,0.8720692724321206
14.7,75.3,0.0643930944399053,0.9356069055600947,1.0,0.8712138111201895
14.75,75.25,0.06482215203005016,0.9351778479699497,0.9999999999999999,0.8703556959398996
14.8,75.2,0.06525253524739048,0.9347474647526095,1.0,0.869494929505219
14.850000000000001,75.15,0.06568424278090436,0.9343157572190957,1.0,0.8686315144381913
14.9,75.1,0.06611727331553581,0.9338827266844641,1.0,0.8677654533689283
14.95,75.05,0.06655162553219861,0.9334483744678015,1.0,0.8668967489356029
15.0,75.0,0.06698729810778066,0.9330127018922194,1.0,0.8660254037844387
15.05,74.95,0.06742428971514774,0.9325757102848522,1.0,0.8651514205697044
15.100000000000001,74.9,0.06786259902314763,0.9321374009768524,1.0,0.8642748019537048
15.15,74.85,0.06830222469661416,0.9316977753033858,1.0,0.8633955506067716
15.2,74.8,0.06874316539637128,0.9312568346036286,0.9999999999999999,0.8625136692072574
15.25,74.75,0.0691854197792371,0.930814580220763,1.0000000000000002,0.8616291604415259
15.3,74.7,0.06962898649802815,0.9303710135019718,1.0,0.8607420270039436
15.350000000000001,74.65,0.07007386420156325,0.9299261357984367,1.0,0.8598522715968735
15.4,74.6,0.07052005153466785,0.9294799484653322,1.0,0.8589598969306643
15.45,74.55,0.07096754713817775,0.9290324528618222,1.0,0.8580649057236445
15.5,74.5,0.07141634964894387,0.9285836503510561,0.9999999999999999,0.8571673007021122
15.55,74.45,0.07186645769983592,0.9281335423001642,1.0000000000000002,0.8562670846003283
